RU;Band Size;Band Number;Code;Specie Name;Foraging strategy;Specie Code;Age;Age How1;Age How2;Sex;Sex How1;Sex How2;BP;CP;Fat;Body Molt;FF Molt;Wear;Ecto;Wing Chord;Weight;Total Tail;Longest Tail;Shortest tail (R1);Bill corrugated;Throat feathers;Exposed culmen;Width of R5;Date;Location;Session;Month;Year;Time;Net;Bander;Total culmen;Width culmen;Depth culmen;Tarsus;Leg aperture;Hallux;SL;R1;Tarsus Ring Size (Hummingbirds)
3919;RE;A52983;R;LAFRESNAYA LAFRESNAYI;Trapliner;LALA;A;P;I;F;P;9;0;0;0;1;F;0;0;56;5;NA;NA;NA;0;NA;24.94;NA;2-oct-13;LLAV;Second;;2013;17:00;5;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
3922;UNB;NA;U;METALLURA TYRIANTHINA;Territorial;METY;NA;9;9;NA;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;3-oct-13;LLAV;Second;;2013;8:15;4;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
3938;X;A52751;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;M;P;9;0;0;0;2;F;1;0;54;3.95;42;42;NA;0;NA;11.72;NA;3-oct-13;LLAV;Second;;2013;6:45;14;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
3939;X;A52781;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;I;U;9;9;0;0;0;0;0;1;0;62;NA;54;54;NA;0;NA;20.25;NA;3-oct-13;LLAV;Second;;2013;7:15;9;GS;NA;NA;NA;NA;NA;NA;NA;NA;NA
3940;X;A52783;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;I;P;U;9;9;0;0;0;0;0;1;T;65;5.75;53;53;NA;70;NA;19.71;NA;3-oct-13;LLAV;Second;;2013;7:15;7;GS;NA;NA;NA;NA;NA;NA;NA;NA;NA
3941;X;A52784;N;HELIANGELUS VIOLA;Territorial;HEVI;Y;I;P;M;P;9;0;0;0;0;0;1;0;57;4.75;48;48;NA;90;NA;13.83;NA;3-oct-13;LLAV;Second;;2013;7:15;5;GS;NA;NA;NA;NA;NA;NA;NA;NA;NA
3942;X;A52786;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;U;9;9;U;9;9;0;0;0;0;0;1;0;70;6.25;45;45;NA;5;NA;21.81;NA;3-oct-13;LLAV;Second;;2013;7:45;16;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
3943;X;A52786;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;I;U;9;9;9;0;0;0;0;1;M;66;5.7;51;51;NA;0;NA;20.8;NA;3-oct-13;LLAV;Second;;2013;8:45;15;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3944;X;A52787;N;HELIANGELUS VIOLA;Territorial;HEVI;A;P;9;M;P;9;0;0;0;0;0;1;0;59;5.5;51;51;NA;0;NA;13.9;NA;3-oct-13;LLAV;Second;;2013;8:45;4;GS;NA;NA;NA;NA;NA;NA;NA;NA;NA
3945;X;A52788;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;F;P;9;0;0;0;0;0;1;0;50;3.35;35;35;NA;0;NA;12.28;NA;3-oct-13;LLAV;Second;;2013;8:45;18;GS;NA;NA;NA;NA;NA;NA;NA;NA;NA
3946;RE;A49830;R;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;I;U;9;9;0;0;0;2;F;1;0;65;5.75;55;55;NA;0;NA;19.8;NA;3-oct-13;LLAV;Second;;2013;8:15;9;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
3975;UNB;NA;U;METALLURA TYRIANTHINA;Territorial;METY;NA;9;9;NA;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;4-oct-13;SANA;Second;;2013;10:00;5;;NA;NA;NA;NA;NA;NA;NA;NA;NA
3976;RE;A52697;R;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;F;P;9;0;0;0;2;F;1;0;51;3.75;34;34;NA;0;NA;13.27;NA;4-oct-13;SANA;Second;;2013;6:30;11;GS;NA;NA;NA;NA;NA;NA;NA;NA;NA
3986;RE;A5401;R;COELIGENA IRIS;Trapliner;COIR;A;P;I;F;P;9;0;0;0;1;F;1;0;75;6.85;NA;NA;NA;0;NA;30.01;NA;4-oct-13;SANA;Second;;2013;8:30;2;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
3987;X;A52789;N;METALLURA TYRIANTHINA;Territorial;METY;Y;P;9;M;P;9;0;0;0;1;0;1;0;55;3.85;40;40;NA;10;NA;11.05;NA;4-oct-13;SANA;Second;;2013;7:30;2;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
3988;X;A52790;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;M;P;9;0;0;0;0;0;1;0;58;3.9;47;47;NA;0;NA;11.67;NA;4-oct-13;SANA;Second;;2013;7:30;8;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
3989;X;A52791;N;LAFRESNAYA LAFRESNAYI;Territorial;LALA;A;P;I;M;P;9;0;0;0;1;0;1;M;60;5.45;40;40;NA;0;NA;24.34;NA;4-oct-13;SANA;Second;;2013;8:00;10;GS;NA;NA;NA;NA;NA;NA;NA;NA;NA
4314;X;A53454;N;METALLURA BARONI;Territorial;MEBA;A;P;I;F;P;9;0;0;0;1;F;1;0;51;4.2;42;42;NA;0;FULL;12.26;NA;11-abr-14;SANA;FIRST;;2014;7:25;12;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4315;X;A53455;N;METALLURA BARONI;Territorial;MEBA;A;P;I;F;P;9;0;0;0;2;0;1;0;56;4.2;39;39;NA;0;FULL;13.01;NA;11-abr-14;SANA;FIRST;;2014;7:55;14;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
3993;X;A52794;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;M;P;9;0;0;0;2;0;2;M;55;4;40;40;NA;0;FULL;12.23;NA;4-oct-13;SANA;Second;;2013;8:30;2;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
3994;X;A52795;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;F;P;9;0;0;0;2;0;1;0;50;3.55;35;35;NA;0;NA;12.78;NA;4-oct-13;SANA;Second;;2013;9:00;11;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
1195;X;A52278;N;METALLURA BARONI;Territorial;MEBA;Y;I;9;M;P;9;0;0;0;1;F;3;M;55;4.25;NA;NA;NA;70;NA;14.17;NA;7-ago-07;LLAV;Second;August;2007;7:05;16;;NA;NA;NA;NA;NA;NA;NA;NA;NA
3996;X;A52755;N;METALLURA TYRIANTHINA;Territorial;METY;Y;P;9;M;P;9;0;0;0;0;0;1;0;55;3.95;39;39;NA;0;36;12.4;NA;4-oct-13;SANA;Second;;2013;10:00;10;GS;NA;NA;NA;NA;NA;NA;NA;NA;NA
3997;X;A53801;N;ENSIFERA ENSIFERA;Trapliner;ENEN;A;X;P;F;X;P;0;0;0;1;0;1;9;79;13.5;55;55;NA;NA;NA;101.86;NA;4-oct-13;SANA;Second;;2013;11:00;15;AC;NA;NA;NA;NA;NA;NA;NA;NA;NA
3998;X;A52797;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;I;U;9;9;0;0;0;0;0;1;0;69;6.5;55;55;NA;0;NA;19.25;NA;4-oct-13;SANA;Second;;2013;12:00;13;GS;NA;NA;NA;NA;NA;NA;NA;NA;NA
3999;X;A52756;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;F;P;9;0;0;0;2;0;3;0;NA;3.6;NA;NA;NA;0;NA;11.45;NA;4-oct-13;SANA;Second;;2013;12:00;3;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
1252;X;A52428;N;METALLURA BARONI;Territorial;MEBA;A;P;9;F;P;9;0;0;0;0;0;0;0;58;4.25;NA;NA;NA;0;NA;11.71;NA;8-ago-07;LLAV;Second;August;2007;10:00;10;;NA;NA;NA;NA;NA;NA;NA;NA;NA
4001;X;A52758;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;F;P;9;0;0;0;1;0;0;0;50;3.65;35;35;NA;0;NA;11.56;NA;5-oct-13;SANA;Second;;2013;6:30;10;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
2821;RE;A52972;R;METALLURA BARONI;Territorial;MEBA;Y;I;P;M;P;9;0;0;0;1;0;1;0;55;4.25;38;38;NA;50;34;13.25;NA;12-nov-11;LLAV;Third;;2011;7:45;17;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4003;X;A52798;N;COELIGENA IRIS;Trapliner;COIR;Y;I;P;U;9;9;0;0;0;1;0;1;0;74;6.55;50;50;NA;80;NA;20.1;NA;5-oct-13;SANA;Second;;2013;7:00;1;GS;NA;NA;NA;NA;NA;NA;NA;NA;NA
4004;X;A52799;N;COELIGENA IRIS;Trapliner;COIR;U;9;9;U;9;9;0;0;0;1;0;1;0;76;6.3;55;55;NA;99;NA;29.37;NA;5-oct-13;SANA;Second;;2013;7:00;2;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4005;X;A52800;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;M;P;9;0;0;0;0;0;1;0;57;3.95;40;40;NA;0;FULL;12.81;NA;5-oct-13;SANA;Second;;2013;8:00;7;GS;NA;NA;NA;NA;NA;NA;NA;NA;NA
4006;X;A52760;N;METALLURA TYRIANTHINA;Territorial;METY;Y;P;9;M;P;9;0;0;0;1;0;1;0;55;3.85;40;40;NA;0;45;11.4;NA;5-oct-13;SANA;Second;;2013;8:00;13;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4007;X;A53010;N;COELIGENA IRIS;Trapliner;COIR;Y;I;P;U;9;9;0;0;0;0;0;1;M;74;6.3;50;50;NA;90;NA;29.3;NA;5-oct-13;SANA;Second;;2013;8:30;7;GS;NA;NA;NA;NA;NA;NA;NA;NA;NA
